well_id,MD(ft),PORO(v/v),RHOB(g/cm3),DTS(us/ft),DT(us/ft),PEF(B/E),RD(OHMM),RS(OHMM),ROP,DENC(g/cm3),NPHI(v/v),Zone,X,Y,Completion Zone,AI_lower(2012-01-01),AI_upper(2012-01-01),AI_lower(2021-12-20),AI_upper(2021-12-20),scaled_X,scaled_Y,scaled_MD,perm_est
WP0,4725.391738640001,0.1239524742987093,2.570550184870887,130.20357992867383,75.87775787641351,7.374498153146097,159.95711254727127,163.22996505951613,15.932318879267086,0.06190389428031741,0.20966578378229755,0.5,137106.82,83818.47000000006,1,6557.246508308868,6530.720558402276,6634.575425862657,6527.5016899889215,1.2488416822718809,-4.192089415820098,-12.26777554901912,9.279787587431546
WP1,4868.90054544,0.19725216639508564,2.46926327907454,128.03323621606899,92.94208108424297,0.05040393472289364,177.90439073609795,178.41885491783097,25.259733994226398,0.050403837930170774,0.2791897380830523,0.2558139534883721,132460.98000000013,85832.77,1,6539.436337484855,6522.364526126961,6609.410946085119,6523.670945301832,0.7744848044034632,-3.9864221825338957,-12.253122786646708,33.89878480536511
WP10,4818.174656639999,0.13544198608786281,2.3929305494619464,127.63100029357258,86.67875557499495,4.433432902455344,189.9829909288739,184.90088100904035,18.849303801052027,0.017321288762220163,0.21348083484564206,0.5,134042.86000000002,82411.27,1,6468.958621870433,6494.681514335387,6514.257843034755,6472.958572844735,0.9360004093236676,-4.335769568071668,-12.258302081292738,10.1872134456311
WP11,4661.109022719999,0.08994986495386377,2.5448079072157936,110.11954564768682,67.39023323588997,7.044379919326107,229.88326206634278,325.46538179961124,15.102249918831706,0.05218001437825916,0.13444009324258502,0.5238095238095238,115725.49000000002,86866.60000000002,1,6466.18054509202,6417.5766801195705,6522.806259576663,6431.026207489136,-0.9342685719500436,-3.880864442481139,-12.27433904419431,2.6899151196242492
WP12,4808.27099512,0.11210404297262998,2.4700767470059466,143.50940232283443,79.57403775200878,0.04271180511482806,133.50629369138687,206.34351720450746,26.26953805635961,0.04271180511482806,0.20143913608729927,0.5,133136.98,93691.55000000002,0,6349.166868649859,6313.508043505049,6362.624739685868,6322.316898442236,0.8435068218296011,-3.1840126409537337,-12.259313280550145,4.183912270042437
WP13,4531.991055200001,0.1163192446912315,2.4702253835403867,135.24236782684724,79.08678076796264,6.662322211769774,171.80368839215245,272.0426270338712,15.320779387178876,0.059147848093709585,0.19288934597767574,0.4888888888888889,119311.2699999999,89234.02,1,6555.1532396093,6506.670436430407,6657.606435771473,6535.592182036683,-0.5681476109348081,-3.6391423944116266,-12.287522450413528,5.352266969292969
WP14,4781.602978079999,0.1385034213321201,2.4764463512426653,129.7067286464499,75.28912916955976,5.762926059324334,144.4736560237759,173.28908938519075,19.841724434052704,0.05895787631395729,0.15499656784481422,0.5,134837.25999999986,83865.81999999996,0,6531.0537872930945,6540.158028221774,6603.209522732705,6519.123697997131,1.0171114901569902,-4.18725481149298,-12.262036180456732,9.386435875754294
WP15,4405.84118264,0.1661381851794114,2.3423740019384116,137.66546111612487,94.616725261996,6.7527264422650495,82.46183052571075,83.107372696387,29.34821877761377,0.0529229082781103,0.34016678512368675,0.5,109560.25999999988,86833.62000000008,0,6503.430367775489,6491.478242817547,6591.2477286731,6491.410103711162,-1.5637606022697967,-3.8842318184200626,-12.300402803523212,18.689149267530684
WP16,4562.928038159999,0.13217311606372517,2.4822439914450154,117.72069140915485,76.430410202368,5.907930894503319,145.41638256494718,169.21891591001778,19.972302287705936,0.05942058949710978,0.16058860410876868,0.5,112898.58000000005,91601.45999999998,0,6501.732579650968,6479.794466276043,6594.903877099196,6497.647510408751,-1.222906192189875,-3.397418304270591,-12.28436367382038,8.524977271252032
WP17,4600.59998944,0.171052347651446,2.3513906591237506,135.12363210696546,89.05484731294185,4.039046641645788,266.39668280480447,229.00712231094235,20.025335931395563,0.011873105744538018,0.2091720852868212,0.5,112766.45999999998,88549.7400000001,0,6552.2238987198025,6508.742019162606,6654.707207623078,6534.917151878769,-1.2363961166607926,-3.7090098294476634,-12.280517232876992,19.741619656932183
WP18,4552.206377439999,0.16706377636606481,2.2257592028915356,130.31194433050152,96.04706182838413,3.7770412086452603,146.180906354041,113.79824473132717,25.71257359503913,0.010960222945045428,0.280982505825515,0.4888888888888889,117798.77999999997,90645.70000000007,1,6571.641923493323,6499.626167819143,6661.47605271439,6535.6578099072785,-0.7225782487112294,-3.4950048181392472,-12.285458393721342,17.17985202142846
WP19,4359.20568344,0.12604366623590568,2.5326089522997575,136.46328115764103,81.54584620008805,7.016787741070697,144.6818625867692,147.47757417795953,29.011442739161577,0.056664199520944813,0.22610119750235602,0.5121951219512195,110189.22000000007,86209.70999999998,1,6486.022855538116,6463.642691656284,6552.2891666876985,6468.9187368396315,-1.499541537062186,-3.9479352605684985,-12.305164454763538,8.38294999310008
WP2,4818.22190504,0.10199612705534694,2.4687525422353085,127.33667440860957,74.122586896178,6.457594566122268,187.89397367530987,181.42666684425535,17.873240257165385,0.03860843714431413,0.1230251483025656,0.4878048780487805,133634.0,82144.52,1,6448.795938108875,6473.113087018537,6489.087153430744,6453.706945254293,0.8942543412099836,-4.363005696989453,-12.258297257062114,4.461659947056351
WP20,4825.2107224,0.11128073306932056,2.5437448501872253,126.85402718867037,73.93325184922307,7.0715213710795,201.5933487084389,469.00493357109235,16.108521230840772,0.06133632416789814,0.1761808933537372,0.5,133687.47,83554.43999999996,1,6498.6956673367,6512.260367042645,6561.014881541577,6492.9061585621985,0.8997138194226698,-4.219047823010956,-12.257583673817127,5.820025293938507
