Date,WP0,WP1,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP2,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP3,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP4,WP40,WP41,WP42,WP43,WP44,WP45,WP46,WP47,WP48,WP49,WP5,WP6,WP7,WP8,WP9
2012-01-01,8.945507797,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,372.7464441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,17.800386758000002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,708.4952278000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,26.646225731,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1040.199032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,35.485803638,0.0,0.0,0,0.0,0.0,0.0,3483.552017,0.0,0.0,1368.8783085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,44.320462765,0.0,0.0,0,0.0,0.0,0.0,6858.0775140000005,0.0,0.0,1694.9965612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.598605566
2012-06-01,53.151320845,0.0,0.0,0,0.0,0.0,0.0,10161.429711,0.0,0.0,2018.9962476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.166407115
2012-07-01,61.978969767,0.0,0.0,0,0.0,0.0,0.0,13406.528016,0.0,0.0,2341.0754208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.702244771
2012-08-01,70.80393852,0.0,0.0,0,0.0,0.0,0.0,16592.181104,0.0,1484.466481,2661.4362541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.193096347
2012-09-01,79.62669319300001,0.0,0.0,0,0.0,0.0,0.0,19722.454642,0.0,2944.212004,2980.2832794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237098562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.630764086
2012-10-01,88.44747658000001,0.0,0.0,0,0.0,0.0,0.0,22799.827141,0.0,4383.671333,3297.6952475000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472272177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.00831515
