,MD(ft),PORO(v/v),RHOB(g/cm3),DTS(us/ft),DT(us/ft),PEF(B/E),RD(OHMM),RS(OHMM),ROP,DENC(g/cm3),NPHI(v/v),Zone,X,Y,Completion Zone,AI_lower(2012-01-01),AI_upper(2012-01-01),AI_lower(2021-12-20),AI_upper(2021-12-20),scaled_X,scaled_Y,scaled_MD,perm_est,well_id
0,4494.12171024,0.0933426797958834,2.7722664124763594,142.27666317751732,81.64793346877697,0.0496,96.4900131932426,107.69285687871349,27.35497774025,0.0496,0.2995981951554053,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.291389045957537,1.780848420423125,WP24
1,4500.68171024,0.05940628406160765,2.656537569957763,132.65904947217783,71.78868877350305,0.0558099041728019,208.55292697876305,313.95108815711336,27.91558525665141,0.0558099041728019,0.1206495745480877,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.29071924649849,0.42654565455900795,WP24
2,4507.24171024,0.0997006716466576,2.8647599796543464,180.6071176221408,85.11547770481454,0.0496702812330251,87.14368011023168,118.79981006418804,27.39217414432504,0.0496702812330251,0.3501792951143697,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.290049447039443,2.2008624705098425,WP24
3,4513.80171024,0.04270144597082556,2.671300984019591,107.850990836813,62.50470900314742,0.0591452439053105,465.7684423653519,634.0311181145321,21.23082026034881,0.0591452439053105,0.0550508200163257,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.289379647580397,0.15293449161964506,WP24
4,4520.361710239999,0.044237463632265495,2.675240237057474,110.7437333412966,64.96772961827216,0.0615025418889429,559.9830469234848,928.2573876333352,27.206763433014103,0.0615025418889429,0.0668283939439851,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.28870984812135,0.17058590918958524,WP24
5,4526.92171024,0.05821763540522226,2.5663364638735726,119.87608164799336,69.16545044432632,0.0618956841336029,197.20920288949017,256.11857465816274,28.36871915077787,0.0618956841336029,0.0997470573638201,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.288040048662305,0.4004378154095878,WP24
6,4533.481710239999,0.06223026385496187,2.604268299951209,123.53166998636792,71.1451973888471,0.064689328575394,203.49352801573045,284.7394346006307,25.61643605646429,0.064689328575394,0.1512933019793904,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.287370249203258,0.4932703443451354,WP24
7,4540.04171024,0.0988129554325177,2.687096196963113,137.62070556192373,82.03589238380168,0.0583175526920019,95.84343387019038,137.23304040460215,27.33264581868433,0.0583175526920019,0.3146664077311205,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.286700449744211,2.138377088695992,WP24
8,4546.601710239999,0.056888290882746106,2.544813536712744,137.54678870378578,78.6236164084275,0.0877798719625609,105.06062085297532,89.52535602374981,21.86557721573472,0.0877798719625609,0.1363284896789023,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.286030650285165,0.37257601245242017,WP24
9,4553.16171024,0.054166904248167155,2.535058431012841,106.33985031524008,62.55193491323196,0.0642028621959464,308.45107349247087,626.6869756437754,22.6794483418412,0.0642028621959464,0.1216914773448102,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.285360850826118,0.3197757592001415,WP24
10,4559.72171024,0.10992189992608184,2.89543011650726,161.88233515853497,78.0346646024923,0.0249724690100522,45.35340479439751,67.9352949944154,27.16558998600602,0.0249724690100522,0.3828821194882723,1.0,142095.82,86042.02,0,6478.848602896208,6386.648689216889,6516.903185622658,6390.063397042384,1.7582364233059147,-3.9650570092403767,-12.284691051367071,3.017650595800784,WP24
